ID,日期,用户名,评分,标题,内容,是否编辑过
13359454540,2025-11-05T13:06:19Z,ASD-SIR,5,【持续更新】一些小建议,"1.希望能有一些可以基础可以调整的选项，尤其是lut希望能调整浓度。
2.希望lut等调整可以批量复制和调整
3.批量导出
4.可以有分类，视频一类，滤镜一类，照片一类，类似这种。
5. 希望有锁屏快捷进入按钮
6.媒体库里的live查看的时候有个缩放动画，否则照片一旦很多，推出到媒体库就不知道刚刚点开的是哪个。
7.媒体库里的live查看的时候希望不用循环播放，因为我想直接看定格的照片是哪一张。
8.批量导出！！！快开放！！希望能有一个功能是直接输出到相册，不用后续导出的设置",False
13334842839,2025-10-30T19:00:27Z,Luki Lau,3,不尽人意,①框架设计不错，有做专业和简易区分，但还有进步空间，如专业的能给到更多的调节空间，简易模式更去除冗余的要素，或实现更大程度的自动化②功能缺失，相纸的比例无法裁切是我不能理解的，这是原生相机就有的功能，可能是想尽可能保留更多的后期空间给到用户？③预设滤镜效果不尽人意，十多个预设滤镜中仅有 1-2 个（自然，伦敦）算是差强人意，其余的滤镜调设都很差，且欠缺同步一些使用对应滤镜的图例作为说明的功能，且滤镜在数量较多的情况下没有做分门别类，显得杂乱无比，期待后续可以以色系区分，风格区分等等来做归类。④影视飓风，无限进步(๑•̀ㅂ•́)و✧,False
13331783205,2025-10-30T01:59:13Z,你似浩海,3,软件还需优化！,首先，很支持飓风推出的这款相机，一出来就购买使用了，但是使用的时候不尽如人意。首先相机软件在拍摄时存在卡顿，这个卡顿会直接影响成片，在成片中也会有卡顿的画面，之后卡顿过后，造成了音画不同步，直接白记录了，仅有一次的画面白记录是拍摄软件的大忌。之后专业模式调整焦段困难或者比功能较深，目前只找到了通过相机控制调整，不准确且无法满足使用需求。且相机会员存在信息差，买了可以送课么！课的价格便宜还送相机会员，相机会员呢，不仅贵了还仅包含相机功能。尽管是限时活动，但是这段时间直接支持购买相机会员的人不就成冤大头了么，希望官方可以重视！,False
13777517439,2026-02-22T16:57:01Z,木予㐅,4,系统ui很协调，适配很不错，同时提出一些建议,"很方便的视频app，画质颜色都还不错，也有一些小建议希望能够采纳
第一是视频拍摄参数调节只有全自动和全手动，希望设置一个可以固定快门速度，自动iso的，这样可玩性会更高一点
第二个就是加入直方图
第三是素材预览做一些竖屏适配，现在小窗无论横竖视频都是横屏显示，影响素材筛选，竖屏视频点进去下面工具栏也会挡住很大一部分画面，希望再做一些适配
第四就是焦段加入28x（1.2x）和35x（1.5x）的选项，有时候就是构图总是差那么一点焦段。
最后祝愿影视飓风越做越好，给我们带来更多惊喜和期待！！！",False
13557668469,2025-12-26T17:16:14Z,majorllen,5,体验很棒，瑕不掩瑜。,"非常喜欢用来直接拍摄 log 视频然后加 lut 导出，完全省去调色阶段。效果非常棒！说一些希望改进的点：1:素材选择界面返回不方便，能不能加入手势返回，上稳定器的时候不能快速回到拍摄界面，有时候会错过一瞬时机。2: 预览导出的按钮好像有断触感，有时候要点好几下。3:有没有可能在后期加入在滑动预览素材的界面勾选需要导出的素材，这样快速出片的时候可以不用频繁返回单独导出片段，直接在预览素材时筛选后批量导出。
祝影视飓风蒸蒸日上！",False
13328084510,2025-10-29T05:58:32Z,相宝山拓海,5,三小时断断续续使用体验，没遇问题,"昨天看到上线，今天正好有活动拍摄，用手机试了试。我是 15promax，体验很好，我用过很多类似的软件，但是飓风相机是最能保留 iPhone 原本强大的防抖算法的。不卡顿，但是耗电量比原相机高挺多。
提出几个建议，第一是导出的问题，一个个导出太慢，以后会上批量导出，但是我还是建议加上一个设置按钮，可以直接把拍摄的视频存入相册。
第二是快门迟滞，
第三是自定义微调滤镜请一定要加入！

祝影视飓风越来越好，无限进步！",False
13328635090,2025-10-29T09:41:42Z,58409555444486,5,飓风相机盼增M全手动档用于照片拍摄,飓风相机Pro版的Apple Log和LUT功能很出色，但拍摄照片时缺乏M全手动档较为受限。希望能增加M档，这样在拍摄人像时，可手动调节快门、光圈和感光度，精准控制曝光，避免逆光下人物过暗或背景过曝。拍风景时也能根据不同光线条件，灵活设置参数，获得更理想的画质。比如用小光圈f8 - f11获取大景深，让整个画面都清晰锐利。,False
13533840127,2025-12-20T07:09:52Z,自信的菲尔,4,总体不错，还有一些小小的不足,"这段时间在拍摄的时候有几个小问题，希望以后更新可以解决😗
1.希望可以让快门速度和iso单独切换自动/手动。就目前来看他们两个好像只能要么全开自动要么全开手动，有时候真的需要锁死最低iso来拍摄但又想动一下快门速度
2.关于UI设计，希望可以把录制按键放在随时可以按下的地方，因为有时候在调参数的时候会反应不过来导致按不了开始录制，真的会错过一些时刻🥲
个人觉得有这些小更新之后会更顺手😆",False
13325089417,2025-10-28T13:10:23Z,发放的脑子,3,还有很多需要优化的,机型17pm，首先是100mm起的长焦段无法近距离对焦（原相机8x没有问题），即便把相机的变焦环转到头也对不上近场的焦。然后是ui很多设置可以直接半透明加入取景框里，取景框要做的大，取景框的屏占比太小啦一点也不手机，相机味不要这么重。再加入直方图和lut导入。拍好后的相册调试模式得改改，视频按你们现在的模式查看导出没问题，但如果拍是动态那这一张一张的查看太折腾人了，顺便加个爱心分组功能。,False
13387916955,2025-11-12T08:56:16Z,eyooto,2,很棒，但有待改进,"飓风相机的动态图片非常棒，超喜欢
 
但目前我觉得需要改进的两个点
1，没办法添加其他log
2，在调节曝光参数时候，会把拍摄按钮🔘挡住
容易错失拍摄瞬间
特别是2，应该把曝光的参数条放在上方，而不是直接把拍摄按钮🔘挡住
3，无法拍摄非动态图，也就是拍摄非动图
 
人生第一次写评论，希望飓风相机越来越好，5⭐太多人给了，发了估计也看不到，我也确实觉得目前还没办法给5⭐",False
13332192997,2025-10-30T04:51:27Z,苏打热,2,设置界面突然卡死BUG,下载app，在设置中调整了一些设置，点击左上角按钮退出设置时，整台手机突然卡住，卡在相机设置界面，按什么按钮也没反应，包括关屏幕、按侧面相机键、音量键，都没任何反应，就是直接卡死不动了，最后是长按电源键+音量键强制关机才能恢复。设备是iPhone17pro，用了1个多月，这是第一次遇到完全卡死的情况，因此有很大可能是app有bug，是不是个例还要看大家反馈。,False
13353469476,2025-11-04T01:33:38Z,X1aohu_,3,有 BUG 及,16Pro从13mm切换到120mm焦段时会有概率出现直接卡死的情况 但是会在一两分钟内恢复 还有快门和 iso无法独立控制自动和手动 想让 ISO自动就必须让快门也自动 希望这点可以改进 还有在登陆一段时间后会突然再次需要登陆 不知道是不是 BUG还是刻意？ 但是总体用下来感觉会比 Blackmagic Camera好用些 期待更新,False
13325659490,2025-10-28T15:39:23Z,阿宝121345,5,确实是专业性质的生产力相机,影视飓风的实力还是非常强大的，这款相机粗体验了一下，Blackmagic cam上限很专业，但是下限，也就是入门门槛会更高一点。这款相机的上限很专业的同时，入门门槛降低了很多，并且对于新手小白来说，简易模式够用了，且可以导出log和烧录好log的视频，真的太方便了！,False
13326106264,2025-10-28T17:44:51Z,GoodPlace009,1,没有用原生开发，体验不好,从我的体验来看，没有用Swift语言来开发，更像是flutter或者RN套了一层框架。整个app太大了，100多mb，界面设计和交互体验都不好，页面过于臃肿，而且无法用到ios26的新特性样式。交互动画过渡太生硬，这也是直接套框架的弊端，估计是想后续做安卓版本，作为工具来说，还是建议使用原生开发。,False
13326357295,2025-10-28T19:01:38Z,jcdeclan,4,非常简单好用的拍摄app,app里面的菜单非常简明清晰 相比blackmagic更加容易上手 很喜欢这个app设计的转表调节的效果。不过 要是可以像blackmagic在拍摄界面添加直方图功能就好了！新手真的很需要直方图来直观的感受曝光是否合适。另外目前还不支持快捷启动的功能 不知道是不是没有得到苹果支持,False
